org_id remap_id freebase_id
497736 0 497736
27696 1 27696
992220 2 992220
508508 3 508508
1054944 4 1054944
13391 5 13391
544860 6 544860
832750 7 832750
509618 8 509618
638604 9 638604
334760 10 334760
543210 11 543210
941340 12 941340
916488 13 916488
207990 14 207990
905198 15 905198
941282 16 941282
882610 17 882610
737722 18 737722
592918 19 592918
133428 20 133428
394064 21 394064
1174664 22 1174664
598086 23 598086
595070 24 595070
578030 25 578030
12999 26 12999
646790 27 646790
659368 28 659368
1388972 29 1388972
556954 30 556954
116286 31 116286
117490 32 117490
655940 33 655940
218794 34 218794
798018 35 798018
128298 36 128298
830298 37 830298
1137266 38 1137266
128300 39 128300
1148732 40 1148732
762768 41 762768
1072494 42 1072494
221578 43 221578
805326 44 805326
1205354 45 1205354
380630 46 380630
276904 47 276904
600508 48 600508
442896 49 442896
973752 50 973752
379644 51 379644
1292702 52 1292702
88718 53 88718
487490 54 487490
499086 55 499086
32939 56 32939
630112 57 630112
16170 58 16170
406814 59 406814
1166824 60 1166824
1171722 61 1171722
858430 62 858430
599570 63 599570
627692 64 627692
382606 65 382606
689198 66 689198
197052 67 197052
614832 68 614832
112704 69 112704
822090 70 822090
1180736 71 1180736
270596 72 270596
430460 73 430460
662664 74 662664
523362 75 523362
85958 76 85958
71382 77 71382
307510 78 307510
557882 79 557882
835878 80 835878
19613 81 19613
479712 82 479712
33215 83 33215
135420 84 135420
12943 85 12943
617922 86 617922
673472 87 673472
281308 88 281308
559144 89 559144
276360 90 276360
611216 91 611216
480344 92 480344
43540 93 43540
1048008 94 1048008
466208 95 466208
693138 96 693138
374962 97 374962
259292 98 259292
858678 99 858678
1048016 100 1048016
693120 101 693120
1164384 102 1164384
147260 103 147260
466664 104 466664
628890 105 628890
858578 106 858578
858576 107 858576
1123224 108 1123224
1048018 109 1048018
466670 110 466670
858666 111 858666
291674 112 291674
291766 113 291766
286194 114 286194
823100 115 823100
741508 116 741508
815474 117 815474
373546 118 373546
307162 119 307162
452650 120 452650
289938 121 289938
707016 122 707016
19112 123 19112
164958 124 164958
265344 125 265344
201926 126 201926
268384 127 268384
114810 128 114810
12892 129 12892
96160 130 96160
164972 131 164972
41149 132 41149
390980 133 390980
577580 134 577580
583726 135 583726
128326 136 128326
244414 137 244414
558620 138 558620
308690 139 308690
888716 140 888716
321410 141 321410
1035472 142 1035472
965832 143 965832
648826 144 648826
1202988 145 1202988
301442 146 301442
1154754 147 1154754
627540 148 627540
1247394 149 1247394
1282650 150 1282650
640100 151 640100
260470 152 260470
1293894 153 1293894
985922 154 985922
165964 155 165964
258232 156 258232
855172 157 855172
765562 158 765562
43319 159 43319
408440 160 408440
859742 161 859742
308694 162 308694
920604 163 920604
918688 164 918688
380970 165 380970
401784 166 401784
199450 167 199450
1170894 168 1170894
383414 169 383414
285638 170 285638
447362 171 447362
353044 172 353044
311870 173 311870
831066 174 831066
1282106 175 1282106
1303001 176 1303001
746432 177 746432
434774 178 434774
1296994 179 1296994
709500 180 709500
284118 181 284118
1246208 182 1246208
948974 183 948974
325834 184 325834
551968 185 551968
596598 186 596598
1303868 187 1303868
302562 188 302562
848664 189 848664
1210498 190 1210498
192870 191 192870
411168 192 411168
1018380 193 1018380
403100 194 403100
571730 195 571730
153210 196 153210
834836 197 834836
592338 198 592338
308696 199 308696
504036 200 504036
58977 201 58977
739390 202 739390
719698 203 719698
502772 204 502772
382204 205 382204
1006314 206 1006314
739964 207 739964
564966 208 564966
1080466 209 1080466
824592 210 824592
1011058 211 1011058
252396 212 252396
796450 213 796450
215728 214 215728
951050 215 951050
1070886 216 1070886
317030 217 317030
214046 218 214046
373716 219 373716
798740 220 798740
975046 221 975046
860890 222 860890
489146 223 489146
116128 224 116128
474150 225 474150
910650 226 910650
543242 227 543242
891484 228 891484
256200 229 256200
48841 230 48841
233900 231 233900
441112 232 441112
236080 233 236080
43441 234 43441
836926 235 836926
760990 236 760990
722174 237 722174
407984 238 407984
1046724 239 1046724
584410 240 584410
881378 241 881378
358062 242 358062
502240 243 502240
402836 244 402836
576946 245 576946
438174 246 438174
297742 247 297742
625568 248 625568
49886 249 49886
575676 250 575676
637176 251 637176
803028 252 803028
738910 253 738910
673016 254 673016
754028 255 754028
375594 256 375594
44836 257 44836
151668 258 151668
677802 259 677802
808506 260 808506
777444 261 777444
317572 262 317572
1335422 263 1335422
546924 264 546924
316750 265 316750
703770 266 703770
1090408 267 1090408
920424 268 920424
907416 269 907416
294292 270 294292
851106 271 851106
671578 272 671578
988804 273 988804
1188742 274 1188742
774174 275 774174
191854 276 191854
133536 277 133536
474238 278 474238
1209694 279 1209694
1148774 280 1148774
364810 281 364810
1218552 282 1218552
702138 283 702138
1016996 284 1016996
97338 285 97338
830994 286 830994
593460 287 593460
49798 288 49798
735550 289 735550
475032 290 475032
692722 291 692722
919906 292 919906
585752 293 585752
480752 294 480752
637922 295 637922
1267854 296 1267854
429662 297 429662
474928 298 474928
515326 299 515326
718338 300 718338
889824 301 889824
680044 302 680044
720814 303 720814
42643 304 42643
805336 305 805336
323950 306 323950
189996 307 189996
521342 308 521342
934614 309 934614
706942 310 706942
597716 311 597716
507486 312 507486
519776 313 519776
941120 314 941120
614472 315 614472
1028792 316 1028792
818644 317 818644
1046992 318 1046992
1108028 319 1108028
1068986 320 1068986
716828 321 716828
737832 322 737832
931626 323 931626
355622 324 355622
737514 325 737514
352150 326 352150
42634 327 42634
42645 328 42645
240256 329 240256
42651 330 42651
692176 331 692176
439362 332 439362
403602 333 403602
42491 334 42491
45136 335 45136
385218 336 385218
42642 337 42642
717278 338 717278
44319 339 44319
42442 340 42442
283780 341 283780
40039 342 40039
323916 343 323916
576636 344 576636
45139 345 45139
1050168 346 1050168
509918 347 509918
42197 348 42197
471428 349 471428
682514 350 682514
915206 351 915206
500206 352 500206
998706 353 998706
831170 354 831170
638966 355 638966
199822 356 199822
277022 357 277022
664444 358 664444
369726 359 369726
779000 360 779000
